DEBUG 2025-04-29 17:40:26,561 plugin 38476 10824 declare 'source' plugin manager
DEBUG 2025-04-29 17:40:26,561 loader 38476 10824 scanning for plugins...
DEBUG 2025-04-29 17:40:26,603 loader 38476 10824 ignored pyexcel_io
DEBUG 2025-04-29 17:40:26,603 loader 38476 10824 ignored pyexcel_ods
DEBUG 2025-04-29 17:40:26,603 loader 38476 10824 ignored pyexcel_ods3
DEBUG 2025-04-29 17:40:26,619 plugin 38476 10824 add pyexcel.plugins.parsers.excel.ExcelParser as 'parser' plugin
DEBUG 2025-04-29 17:40:26,619 plugin 38476 10824 load pyexcel.plugins.parsers.excel.ExcelParser later
DEBUG 2025-04-29 17:40:26,619 plugin 38476 10824 add pyexcel.plugins.parsers.sqlalchemy.SQLAlchemyExporter as 'parser' plugin
DEBUG 2025-04-29 17:40:26,619 plugin 38476 10824 load pyexcel.plugins.parsers.sqlalchemy.SQLAlchemyExporter later
DEBUG 2025-04-29 17:40:26,619 plugin 38476 10824 add pyexcel.plugins.parsers.django.DjangoExporter as 'parser' plugin
DEBUG 2025-04-29 17:40:26,619 plugin 38476 10824 load pyexcel.plugins.parsers.django.DjangoExporter later
DEBUG 2025-04-29 17:40:26,620 utils 38476 10824 found pyexcel.plugins.parsers
DEBUG 2025-04-29 17:40:26,621 plugin 38476 10824 add pyexcel.plugins.renderers.sqlalchemy.SQLAlchemyRenderer as 'renderer' plugin
DEBUG 2025-04-29 17:40:26,621 plugin 38476 10824 load pyexcel.plugins.renderers.sqlalchemy.SQLAlchemyRenderer later
DEBUG 2025-04-29 17:40:26,621 plugin 38476 10824 add pyexcel.plugins.renderers.django.DjangoRenderer as 'renderer' plugin
DEBUG 2025-04-29 17:40:26,621 plugin 38476 10824 load pyexcel.plugins.renderers.django.DjangoRenderer later
DEBUG 2025-04-29 17:40:26,622 plugin 38476 10824 add pyexcel.plugins.renderers.excel.ExcelRenderer as 'renderer' plugin
DEBUG 2025-04-29 17:40:26,622 plugin 38476 10824 load pyexcel.plugins.renderers.excel.ExcelRenderer later
DEBUG 2025-04-29 17:40:26,623 plugin 38476 10824 add pyexcel.plugins.renderers._texttable.TextTableRenderer as 'renderer' plugin
DEBUG 2025-04-29 17:40:26,623 plugin 38476 10824 load pyexcel.plugins.renderers._texttable.TextTableRenderer later
DEBUG 2025-04-29 17:40:26,623 utils 38476 10824 found pyexcel.plugins.renderers
DEBUG 2025-04-29 17:40:26,626 plugin 38476 10824 add pyexcel.plugins.sources.http.HttpSource as 'source' plugin
DEBUG 2025-04-29 17:40:26,626 plugin 38476 10824 load pyexcel.plugins.sources.http.HttpSource later
DEBUG 2025-04-29 17:40:26,630 source_plugin 38476 10824 Instance attribute: url , url , 
DEBUG 2025-04-29 17:40:26,630 source_plugin 38476 10824 Source registry: 
DEBUG 2025-04-29 17:40:26,630 plugin 38476 10824 add pyexcel.plugins.sources.sheet_stream_source.SheetStreamSource as 'source' plugin
DEBUG 2025-04-29 17:40:26,637 plugin 38476 10824 load pyexcel.plugins.sources.sheet_stream_source.SheetStreamSource later
DEBUG 2025-04-29 17:40:26,637 plugin 38476 10824 add pyexcel.plugins.sources.file_input.ReadExcelFromFile as 'source' plugin
DEBUG 2025-04-29 17:40:26,638 plugin 38476 10824 load pyexcel.plugins.sources.file_input.ReadExcelFromFile later
DEBUG 2025-04-29 17:40:26,638 plugin 38476 10824 add pyexcel.plugins.sources.memory_input.ReadExcelFileMemory as 'source' plugin
DEBUG 2025-04-29 17:40:26,638 plugin 38476 10824 load pyexcel.plugins.sources.memory_input.ReadExcelFileMemory later
DEBUG 2025-04-29 17:40:26,639 source_plugin 38476 10824 Instance attribute: csvz tsv ods tsvz xls csv xlsb queryset pdf xlsm xlsx html , csvz tsv ods tsvz xls csv xlsb queryset pdf xlsm xlsx html , 
DEBUG 2025-04-29 17:40:26,639 source_plugin 38476 10824 Source registry: 
DEBUG 2025-04-29 17:40:26,639 plugin 38476 10824 add pyexcel.plugins.sources.file_output.WriteSheetToFile as 'source' plugin
DEBUG 2025-04-29 17:40:26,639 plugin 38476 10824 load pyexcel.plugins.sources.file_output.WriteSheetToFile later
DEBUG 2025-04-29 17:40:26,639 plugin 38476 10824 add pyexcel.plugins.sources.file_output.WriteBookToFile as 'source' plugin
DEBUG 2025-04-29 17:40:26,639 plugin 38476 10824 load pyexcel.plugins.sources.file_output.WriteBookToFile later
DEBUG 2025-04-29 17:40:26,639 plugin 38476 10824 add pyexcel.plugins.sources.output_to_memory.WriteSheetToMemory as 'source' plugin
DEBUG 2025-04-29 17:40:26,639 plugin 38476 10824 load pyexcel.plugins.sources.output_to_memory.WriteSheetToMemory later
DEBUG 2025-04-29 17:40:26,640 source_plugin 38476 10824 Instance attribute: tsv ods tsvz xls csv xlsm xlsx csvz texttable , 
DEBUG 2025-04-29 17:40:26,640 source_plugin 38476 10824 Source registry: 
DEBUG 2025-04-29 17:40:26,640 plugin 38476 10824 add pyexcel.plugins.sources.output_to_memory.WriteBookToMemory as 'source' plugin
DEBUG 2025-04-29 17:40:26,640 plugin 38476 10824 load pyexcel.plugins.sources.output_to_memory.WriteBookToMemory later
DEBUG 2025-04-29 17:40:26,641 source_plugin 38476 10824 Instance attribute: tsv ods tsvz xls csv xlsm xlsx csvz texttable , 
DEBUG 2025-04-29 17:40:26,641 source_plugin 38476 10824 Source registry: 
DEBUG 2025-04-29 17:40:26,641 plugin 38476 10824 add pyexcel.plugins.sources.pydata.bookdict.BookDictSource as 'source' plugin
